,imed_reg_code,n_significativo,1,2,3,4,cluster,concentracao,distancia
179,280004,0.7058823529411765,0.0,0.0,0.29411764705882354,0.0,3,0.6935191836795055,51.11441178161394
180,280005,0.7647058823529411,0.0,0.0,0.23529411764705882,0.0,3,0.7417364831128523,53.11410737609509
181,280006,0.47058823529411764,0.0,0.0,0.5294117647058824,0.0,3,0.6141356769947383,73.38522629784295
182,290001,1.0,0.0,0.0,0.0,0.0,1,1.0,45.99700989258645
183,290002,1.0,0.0,0.0,0.0,0.0,1,1.0,52.14342141444767
184,290003,0.9411764705882353,0.0,0.0,0.058823529411764705,0.0,3,0.9282196375329118,40.03882357940615
185,290004,0.9411764705882353,0.0,0.0,0.058823529411764705,0.0,3,0.9282196375329118,28.82431457027895
186,290005,1.0,0.0,0.0,0.0,0.0,1,1.0,32.32403080194793
187,290006,1.0,0.0,0.0,0.0,0.0,1,1.0,38.245050469047655
188,290007,0.8823529411764706,0.0,0.0,0.11764705882352941,0.0,3,0.8605140493133996,25.89637519188873
189,290008,1.0,0.0,0.0,0.0,0.0,1,1.0,18.05439712781943
190,290009,0.9411764705882353,0.0,0.0,0.058823529411764705,0.0,3,0.9282196375329118,11.090801727831447
191,290010,1.0,0.0,0.0,0.0,0.0,1,1.0,71.1803653035934
192,290011,1.0,0.0,0.0,0.0,0.0,1,1.0,29.514223653987035
193,290012,0.9411764705882353,0.0,0.0,0.058823529411764705,0.0,3,0.9282196375329118,28.14349278488188
194,290013,0.9411764705882353,0.0,0.0,0.058823529411764705,0.0,3,0.9282196375329118,57.9636484010321
195,290014,0.9411764705882353,0.0,0.058823529411764705,0.0,0.0,2,0.9282196375329118,45.42353345842877
196,290015,1.0,0.0,0.0,0.0,0.0,1,1.0,107.58940982229085
197,290016,0.9411764705882353,0.0,0.0,0.058823529411764705,0.0,3,0.9282196375329118,19.55971072553623
198,290017,0.8235294117647058,0.0,0.0,0.17647058823529413,0.0,3,0.7979211744853256,104.93572186168936
199,290018,0.5882352941176471,0.0,0.0,0.4117647058823529,0.0,3,0.6280634265900771,28.199318521684827
200,290019,0.7647058823529411,0.0,0.0,0.23529411764705882,0.0,3,0.7417364831128523,194.47568827405084
201,290020,0.8235294117647058,0.058823529411764705,0.0,0.11764705882352941,0.0,3,0.7870051858976265,15.382911066915208
202,290021,0.6470588235294118,0.0,0.0,0.35294117647058826,0.0,3,0.6550311015094143,136.0158194009029
203,290022,0.35294117647058826,0.0,0.0,0.6470588235294118,0.0,3,0.6550311015094143,116.16638678395945
204,290023,0.9411764705882353,0.0,0.0,0.058823529411764705,0.0,3,0.9282196375329118,105.0093185317112
205,290024,0.4117647058823529,0.0,0.0,0.5882352941176471,0.0,3,0.6280634265900771,171.53427834288416
206,290025,0.7647058823529411,0.0,0.0,0.23529411764705882,0.0,3,0.7417364831128523,123.7333992141735
207,290026,0.7058823529411765,0.0,0.0,0.29411764705882354,0.0,3,0.6935191836795055,181.30941374570637
208,290027,0.47058823529411764,0.0,0.0,0.5294117647058824,0.0,3,0.6141356769947383,87.9613255525334
209,290028,0.4117647058823529,0.0,0.0,0.5882352941176471,0.0,3,0.6280634265900771,125.01817995878164
210,290029,0.9411764705882353,0.0,0.0,0.058823529411764705,0.0,3,0.9282196375329118,72.80302855391511
211,290030,0.7647058823529411,0.11764705882352941,0.0,0.11764705882352941,0.0,1,0.718032683278453,128.9772155200972
212,290031,0.7647058823529411,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.0,1,0.7119834374653061,42.69257502216251
213,290032,0.9411764705882353,0.0,0.0,0.058823529411764705,0.0,3,0.9282196375329118,130.35368935158596
214,290033,0.7647058823529411,0.0,0.0,0.11764705882352941,0.11764705882352941,3,0.718032683278453,94.21404011686752
215,290034,0.8235294117647058,0.0,0.0,0.058823529411764705,0.11764705882352941,4,0.7870051858976265,24.525197936331967
216,310001,0.4117647058823529,0.29411764705882354,0.17647058823529413,0.11764705882352941,0.0,1,0.3553837051057227,11.713505214456987
217,310002,0.8235294117647058,0.0,0.0,0.17647058823529413,0.0,3,0.7979211744853256,48.41680179257881
218,310003,0.5294117647058824,0.29411764705882354,0.0,0.17647058823529413,0.0,1,0.49739807427316945,36.1704430346249
219,310004,0.7058823529411765,0.0,0.11764705882352941,0.17647058823529413,0.0,3,0.6550311015094142,35.566751899688356
220,310005,0.5294117647058824,0.29411764705882354,0.0,0.17647058823529413,0.0,1,0.49739807427316945,24.419227942127428
221,310006,0.17647058823529413,0.0,0.0,0.8235294117647058,0.0,3,0.7979211744853256,9.139439034639972
222,310007,0.6470588235294118,0.0,0.0,0.35294117647058826,0.0,3,0.6550311015094143,133.49378635537053
223,310008,0.5294117647058824,0.0,0.0,0.47058823529411764,0.0,3,0.6141356769947383,111.86404234119232
224,310009,0.5882352941176471,0.0,0.0,0.4117647058823529,0.0,3,0.6280634265900771,125.46552946466619
225,310010,0.7058823529411765,0.058823529411764705,0.0,0.23529411764705882,0.0,3,0.6681068642117968,14.605175547848393
226,310011,0.6470588235294118,0.0,0.0,0.35294117647058826,0.0,3,0.6550311015094143,85.48367806132113
227,310012,0.8235294117647058,0.0,0.0,0.11764705882352941,0.058823529411764705,3,0.7870051858976265,96.94969822396943
228,310013,0.8235294117647058,0.0,0.0,0.17647058823529413,0.0,3,0.7979211744853256,26.079862976569423
229,310014,0.8235294117647058,0.0,0.0,0.17647058823529413,0.0,3,0.7979211744853256,104.94996494964876
230,310015,0.8235294117647058,0.0,0.0,0.17647058823529413,0.0,3,0.7979211744853256,91.7614733649052
231,310016,0.8235294117647058,0.0,0.0,0.17647058823529413,0.0,3,0.7979211744853256,22.405453217516573
232,310017,0.7647058823529411,0.0,0.0,0.23529411764705882,0.0,3,0.7417364831128523,71.02876698889942
233,310018,0.7647058823529411,0.0,0.0,0.23529411764705882,0.0,3,0.7417364831128523,64.66158042757671
234,310019,0.8235294117647058,0.0,0.0,0.17647058823529413,0.0,3,0.7979211744853256,93.03156848201864
235,310020,0.5882352941176471,0.23529411764705882,0.0,0.17647058823529413,0.0,1,0.5391265523477459,9.049871516535038
236,310021,0.7647058823529411,0.0,0.058823529411764705,0.17647058823529413,0.0,3,0.7240313897112453,25.130678647664514
237,310022,0.8235294117647058,0.0,0.0,0.17647058823529413,0.0,3,0.7979211744853256,81.03459201658715
238,310023,0.8235294117647058,0.0,0.0,0.17647058823529413,0.0,3,0.7979211744853256,61.261057468353435
239,310024,0.5882352941176471,0.23529411764705882,0.0,0.17647058823529413,0.0,1,0.5391265523477459,10.213725302227171
240,310025,0.7647058823529411,0.058823529411764705,0.0,0.17647058823529413,0.0,3,0.7240313897112453,8.35848063718839
241,310026,0.5294117647058824,0.35294117647058826,0.0,0.11764705882352941,0.0,1,0.5228349657244464,12.824593898413385
242,310027,0.7058823529411765,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.0,2,0.6416889479197477,43.445630088651065
243,310028,0.47058823529411764,0.35294117647058826,0.0,0.17647058823529413,0.0,1,0.47058823529411764,29.46477679172717
244,310029,0.5294117647058824,0.29411764705882354,0.0,0.17647058823529413,0.0,1,0.49739807427316945,10.47385684628467
245,310030,0.5882352941176471,0.23529411764705882,0.058823529411764705,0.11764705882352941,0.0,1,0.5228349657244464,14.814443032083783
246,310031,0.6470588235294118,0.23529411764705882,0.0,0.11764705882352941,0.0,1,0.5998846486579748,14.303935561761355
247,310032,0.47058823529411764,0.4117647058823529,0.0,0.11764705882352941,0.0,1,0.5060191333554486,9.550690906874905
248,310033,0.6470588235294118,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.0,1,0.5778494913055441,36.860046826934415
249,310034,0.7647058823529411,0.058823529411764705,0.0,0.17647058823529413,0.0,3,0.7240313897112453,9.6352200089778
250,310035,0.7058823529411765,0.17647058823529413,0.0,0.11764705882352941,0.0,1,0.6550311015094142,35.84408426293447
251,310036,0.7058823529411765,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.0,1,0.6483943436779,26.274496244792395
252,310037,0.8823529411764706,0.0,0.0,0.11764705882352941,0.0,3,0.8605140493133996,5.713464267446864
253,310038,0.5882352941176471,0.23529411764705882,0.0,0.17647058823529413,0.0,1,0.5391265523477459,4.493754213310585
254,310039,0.7647058823529411,0.058823529411764705,0.0,0.17647058823529413,0.0,3,0.7240313897112453,7.696460609522794
255,310040,0.8235294117647058,0.058823529411764705,0.0,0.11764705882352941,0.0,3,0.7870051858976265,21.23820559548322
256,310041,0.5294117647058824,0.17647058823529413,0.0,0.29411764705882354,0.0,3,0.49739807427316945,8.053262609060923
257,310042,0.7058823529411765,0.058823529411764705,0.0,0.23529411764705882,0.0,3,0.6681068642117968,1.1144945091981966
258,310043,0.7058823529411765,0.058823529411764705,0.0,0.23529411764705882,0.0,3,0.6681068642117968,9.43018591958194
259,310044,0.8823529411764706,0.0,0.0,0.11764705882352941,0.0,3,0.8605140493133996,46.42554863186156
260,310045,0.7647058823529411,0.058823529411764705,0.0,0.17647058823529413,0.0,3,0.7240313897112453,5.9287574975463215
261,310046,0.6470588235294118,0.0,0.0,0.35294117647058826,0.0,3,0.6550311015094143,43.232517435492326
262,310047,0.8235294117647058,0.058823529411764705,0.0,0.11764705882352941,0.0,3,0.7870051858976265,48.497396054125545
263,310048,0.7058823529411765,0.11764705882352941,0.0,0.17647058823529413,0.0,3,0.6550311015094142,10.419290447063966
264,310049,0.8235294117647058,0.058823529411764705,0.0,0.11764705882352941,0.0,3,0.7870051858976265,53.065085986837424
265,310050,0.8235294117647058,0.058823529411764705,0.0,0.11764705882352941,0.0,3,0.7870051858976265,18.941221706746347
266,310051,0.8823529411764706,0.0,0.058823529411764705,0.058823529411764705,0.0,2,0.8554729160146463,20.279183828913236
267,310052,0.7647058823529411,0.058823529411764705,0.17647058823529413,0.0,0.0,2,0.7240313897112453,11.287415440031538
268,310053,0.7647058823529411,0.11764705882352941,0.0,0.11764705882352941,0.0,1,0.718032683278453,6.198691001032968
269,310054,0.8235294117647058,0.0,0.0,0.17647058823529413,0.0,3,0.7979211744853256,43.31531659757579
270,310055,0.4117647058823529,0.17647058823529413,0.11764705882352941,0.29411764705882354,0.0,3,0.3553837051057227,7.942808259800343
271,310056,0.6470588235294118,0.23529411764705882,0.0,0.11764705882352941,0.0,1,0.5998846486579748,72.39153230418245
272,310057,0.8235294117647058,0.058823529411764705,0.0,0.11764705882352941,0.0,3,0.7870051858976265,91.43014064721352
273,310058,0.8235294117647058,0.058823529411764705,0.0,0.11764705882352941,0.0,3,0.7870051858976265,71.00047398939736
274,310059,0.4117647058823529,0.23529411764705882,0.0,0.35294117647058826,0.0,3,0.4322628957852667,61.042584616706705
275,310060,0.7647058823529411,0.11764705882352941,0.0,0.11764705882352941,0.0,1,0.718032683278453,44.442185435745756
276,310061,0.7058823529411765,0.17647058823529413,0.0,0.11764705882352941,0.0,1,0.6550311015094142,66.88235179042496
277,310062,0.7058823529411765,0.11764705882352941,0.0,0.17647058823529413,0.0,3,0.6550311015094142,77.96905812397544
278,310063,0.5882352941176471,0.0,0.0,0.4117647058823529,0.0,3,0.6280634265900771,72.70105572635757
279,310064,0.6470588235294118,0.23529411764705882,0.0,0.11764705882352941,0.0,1,0.5998846486579748,19.890518704157373
280,310065,0.7058823529411765,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.0,1,0.6416889479197477,10.952162896876283
281,310066,0.5882352941176471,0.17647058823529413,0.0,0.11764705882352941,0.11764705882352941,1,0.5060191333554487,96.86249833131929
282,310067,0.8235294117647058,0.058823529411764705,0.0,0.11764705882352941,0.0,3,0.7870051858976265,91.5366526229154
283,310068,0.8235294117647058,0.0,0.058823529411764705,0.11764705882352941,0.0,3,0.7870051858976265,47.9896386832781
284,310069,0.8235294117647058,0.0,0.0,0.17647058823529413,0.0,3,0.7979211744853256,56.52767667009461
285,310070,0.7647058823529411,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.0,3,0.7119834374653061,105.65539817599587
286,320001,0.5294117647058824,0.47058823529411764,0.0,0.0,0.0,1,0.6141356769947383,20.18805297394212
287,320002,0.4117647058823529,0.5882352941176471,0.0,0.0,0.0,1,0.6280634265900771,62.12086132832749
288,320003,0.5882352941176471,0.29411764705882354,0.11764705882352941,0.0,0.0,1,0.5549400665915649,111.21919369874728
289,320004,0.5882352941176471,0.4117647058823529,0.0,0.0,0.0,1,0.6280634265900771,54.13865685855314
290,320005,0.6470588235294118,0.35294117647058826,0.0,0.0,0.0,1,0.6550311015094143,27.086144599845504
291,320006,0.7647058823529411,0.23529411764705882,0.0,0.0,0.0,1,0.7417364831128523,107.02408475200838
292,320007,0.7647058823529411,0.23529411764705882,0.0,0.0,0.0,1,0.7417364831128523,5.33278144947508
293,320008,0.7058823529411765,0.29411764705882354,0.0,0.0,0.0,1,0.6935191836795055,47.386161150608
294,330001,0.8823529411764706,0.0,0.0,0.11764705882352941,0.0,3,0.8605140493133996,2.5033733955210837
295,330002,0.8823529411764706,0.058823529411764705,0.058823529411764705,0.0,0.0,1,0.8554729160146463,23.64454041662993
296,330003,0.8823529411764706,0.0,0.0,0.11764705882352941,0.0,3,0.8605140493133996,32.70123670860479
297,330004,0.8823529411764706,0.0,0.0,0.11764705882352941,0.0,3,0.8605140493133996,12.842508828009622
298,330005,0.8823529411764706,0.058823529411764705,0.058823529411764705,0.0,0.0,1,0.8554729160146463,5.069380560169715
299,330006,0.9411764705882353,0.0,0.0,0.058823529411764705,0.0,3,0.9282196375329118,32.32403080194793
300,330007,0.9411764705882353,0.0,0.0,0.058823529411764705,0.0,3,0.9282196375329118,26.287732608815336
301,330008,0.9411764705882353,0.058823529411764705,0.0,0.0,0.0,1,0.9282196375329118,33.45493550923299
302,330009,0.9411764705882353,0.0,0.0,0.0,0.058823529411764705,4,0.9282196375329118,12.181734695644893
303,330010,0.7647058823529411,0.0,0.17647058823529413,0.058823529411764705,0.0,2,0.7240313897112453,14.105250212349372
304,330011,1.0,0.0,0.0,0.0,0.0,1,1.0,7.340459505339836
305,330012,0.8235294117647058,0.058823529411764705,0.0,0.11764705882352941,0.0,3,0.7870051858976265,43.31679172359481
306,330013,0.8823529411764706,0.0,0.0,0.11764705882352941,0.0,3,0.8605140493133996,19.77041429224036
307,330014,0.8235294117647058,0.0,0.0,0.17647058823529413,0.0,3,0.7979211744853256,13.128436544049036
308,350001,0.8823529411764706,0.0,0.11764705882352941,0.0,0.0,2,0.8605140493133996,7.643047251046236
309,350002,0.9411764705882353,0.0,0.058823529411764705,0.0,0.0,2,0.9282196375329118,39.66598579076821
310,350003,1.0,0.0,0.0,0.0,0.0,1,1.0,9.248745460456623
311,350004,1.0,0.0,0.0,0.0,0.0,1,1.0,8.990922513449863
312,350005,0.9411764705882353,0.058823529411764705,0.0,0.0,0.0,1,0.9282196375329118,17.599949088159896
313,350006,1.0,0.0,0.0,0.0,0.0,1,1.0,14.537561240215993
314,350007,0.9411764705882353,0.058823529411764705,0.0,0.0,0.0,1,0.9282196375329118,74.25541925225883
315,350008,0.8823529411764706,0.0,0.11764705882352941,0.0,0.0,2,0.8605140493133996,37.06433259797181
316,350009,1.0,0.0,0.0,0.0,0.0,1,1.0,8.512546779184937
317,350010,0.8823529411764706,0.11764705882352941,0.0,0.0,0.0,1,0.8605140493133996,15.26037506279958
318,350011,0.9411764705882353,0.058823529411764705,0.0,0.0,0.0,1,0.9282196375329118,5.332283776357125
319,350012,0.9411764705882353,0.0,0.058823529411764705,0.0,0.0,2,0.9282196375329118,10.312699929074828
320,350013,1.0,0.0,0.0,0.0,0.0,1,1.0,4.437900516186473
321,350014,1.0,0.0,0.0,0.0,0.0,1,1.0,10.493973089760843
322,350015,1.0,0.0,0.0,0.0,0.0,1,1.0,23.23819601378379
323,350016,1.0,0.0,0.0,0.0,0.0,1,1.0,10.398067156797612
324,350017,1.0,0.0,0.0,0.0,0.0,1,1.0,54.888878502436896
325,350018,0.9411764705882353,0.0,0.058823529411764705,0.0,0.0,2,0.9282196375329118,28.044533758477286
326,350019,1.0,0.0,0.0,0.0,0.0,1,1.0,6.448544507573036
327,350020,1.0,0.0,0.0,0.0,0.0,1,1.0,9.654438748861274
328,350021,1.0,0.0,0.0,0.0,0.0,1,1.0,67.45526912179646
329,350022,0.9411764705882353,0.058823529411764705,0.0,0.0,0.0,1,0.9282196375329118,29.149731670211157
330,350023,1.0,0.0,0.0,0.0,0.0,1,1.0,13.814708589162624
331,350024,1.0,0.0,0.0,0.0,0.0,1,1.0,48.217036471026326
332,350025,0.9411764705882353,0.058823529411764705,0.0,0.0,0.0,1,0.9282196375329118,10.808426056128287
333,350026,1.0,0.0,0.0,0.0,0.0,1,1.0,7.320970149332019
334,350027,0.9411764705882353,0.058823529411764705,0.0,0.0,0.0,1,0.9282196375329118,13.615772544832115
335,350028,1.0,0.0,0.0,0.0,0.0,1,1.0,14.428280764888802
336,350029,0.9411764705882353,0.058823529411764705,0.0,0.0,0.0,1,0.9282196375329118,11.582146006486244
337,350030,1.0,0.0,0.0,0.0,0.0,1,1.0,37.81122557909181
338,350031,0.7058823529411765,0.0,0.0,0.29411764705882354,0.0,3,0.6935191836795055,5.1442511764744845
339,350032,0.8823529411764706,0.0,0.0,0.11764705882352941,0.0,3,0.8605140493133996,7.451979420779411
340,350033,0.7058823529411765,0.0,0.0,0.29411764705882354,0.0,3,0.6935191836795055,8.184958372144896
341,350034,0.7058823529411765,0.0,0.0,0.29411764705882354,0.0,3,0.6935191836795055,42.00055437293374
342,350035,0.8235294117647058,0.0,0.0,0.17647058823529413,0.0,3,0.7979211744853256,13.785795482558008
343,350036,1.0,0.0,0.0,0.0,0.0,1,1.0,29.94439958613812
344,350037,0.8235294117647058,0.0,0.0,0.17647058823529413,0.0,3,0.7979211744853256,16.069346430147792
345,350038,0.9411764705882353,0.0,0.058823529411764705,0.0,0.0,2,0.9282196375329118,11.609473667130535
346,350039,0.9411764705882353,0.0,0.0,0.058823529411764705,0.0,3,0.9282196375329118,6.316499382524638
